Name,Symbol,APIR Code,Morningstar Medalist Rating™,Analyst-Driven %,Data Coverage %,Medalist Rating Date,Morningstar ESG Risk Rating,Morningstar Category,Low Carbon Designation,Sustainable Investment (By Prospectus),Historical Corporate Sustainability Score,Historical Sovereign Sustainability Score,Corporate Sustainability Percent Rank,Portfolio Carbon Risk Score,Fossil Fuel % Covered Portfolio Involved,Alcohol(%),Animal Testing(%),Controversial Weapons(%),Tobacco(%),Gambling(%),Small Arms(%),Thermal Coal(%),1 Month Return (%),3 Months Return (%),6 Months Return (%),YTD Return (%),1 Year Annualised (%),3 Years Annualised (%),5 Years Annualised (%),10 Years Annualised (%),Investment Management Fee(%),TCR (P),Manager Tenure (Yrs),Fund Size (Mil),Equity StyleBox™,Fixed Income StyleBox™,Average Market Cap (Mil),Average Credit Quality,Effective Duration,Morningstar Rating,Morningstar Risk (Rel to Category),3 Year Alpha,3 Year Beta,3 Year R-Squared,3 Year Standard Deviation,3 Year Sharpe Ratio
AIA Personal Super & Rollover Plan - Savings,3211,COM0401AU,,,,,,Australian Cash,,,,,,,,,,,,,,,0.31,0.92,1.87,3.43,3.75,3.41,3.44,3.80,,1.20,,,,,,,,,,−1.76,1.76,22.46,0.11,
AIA Personal Super Umbrella Investment Plan - Australian Equities Fund,18336,LGL0059AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.12,−3.08,0.47,−0.44,8.35,6.50,10.82,6.27,,2.29,,,,,,,,,,0.08,0.74,92.55,10.40,0.30
AIA Rollover Bond 4/90 - Equity Profile (G),1980,PRU0241AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,0.33,−3.24,1.28,−0.80,7.63,6.96,8.54,6.39,,1.82,,21.54 ,,,,,,,,1.33,0.46,87.84,6.74,0.49
AIA Rollover Bond - Fixed Interest,1780,LGL0703AU,,,,,,Bonds - Australia,,,,,,,,,,,,,,,0.72,−0.01,3.54,−0.01,1.07,−2.37,−1.23,0.60,,1.84,,,,,,,,,,−2.46,0.62,83.72,4.39,−1.05
AIA Rollover Deferred Annuity - Guaranteed Cash,800,SCO0701AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.16,0.61,1.31,0.80,2.66,1.95,1.16,0.91,,1.50,,1.88 ,,,,,,,,−1.70,0.35,4.27,0.31,−12.00
AIA Rollover Deposit Plan - Guaranteed Cash,14995,SGS0030AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.22,0.80,1.70,1.06,3.43,2.64,1.60,1.05,,,,,,,,,,,,−0.89,0.96,32.28,0.34,−7.41
AIA Rollover Fund - Savings Account,4203,COM0031AU,,,,,,Australian Cash,,,,,,,,,,,,,,,0.22,0.87,1.83,1.15,3.72,3.06,1.73,1.45,,1.20,,,,,,,,,,−0.58,0.53,16.75,0.31,−6.12
AIA SAP - Alphinity Conc AU Shares,8368,PRU0518AU,,,,,3,Equity Australia Large Blend,No,No,,,,9.31,15.04,0,12.06,0,0,5.58,0.00,9.19,1.40,−3.43,0.79,−0.34,11.46,8.61,15.95,9.89,1.10,2.45,14.83,0.14 ,Large Blend,,,,,,,1.92,0.79,90.77,11.22,0.46
AIA SAP - Australian Equities Fund,4467,PRU0083AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.42,−3.44,0.83,−0.34,9.81,8.34,13.59,8.82,1.29,2.64,,2.57 ,Large Growth,,,,,,,1.52,0.84,92.66,11.86,0.42
AIA SAP - Australian Fixed Interest Fund,4468,PRU0084AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.45,2.08,10.58,2.70,15.40,4.70,1.78,2.68,1.29,2.64,,4.13 ,,,,,,,,1.81,0.85,54.05,6.60,0.17
AIA SAP - AXA Alliance Australian Fixed Interest Option,8348,PRU0482AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.81,2.40,4.23,3.20,7.32,2.78,0.18,1.98,1.29,2.64,,4.04 ,,,,,,,,−0.04,0.93,92.93,5.50,−0.15
AIA SAP - BT Core Australian Share Option,4474,PRU0092AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.11,17.47,3.49,9.01,0,0,3.82,0.00,9.64,1.41,−3.42,0.96,−0.34,9.62,8.58,14.56,9.28,1.80,1.80,22.42,7.88 ,Large Blend,,,,,,,1.73,0.86,89.76,12.24,0.43
AIA SAP - BT Property Investment Option,6234,PRU0187AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,−1.00,−2.56,−6.67,−0.48,7.19,−4.46,6.30,4.60,1.80,1.80,28.33,12.17 ,,,,,,,,−9.39,0.67,78.83,17.80,−0.38
AIA SAP - Cash Fund,4470,PRU0088AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.32,0.99,2.12,1.36,4.50,3.68,2.32,2.28,1.29,2.64,,6.89 ,,,,,,,,0.19,1.28,43.25,0.38,−0.50
AIA SAP - CFS Australian Share Fund - Core,8387,PRU0586AU,,,,,4,Equity Australia Large Blend,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.41,−3.39,0.83,−0.30,9.35,8.53,14.12,8.67,1.10,2.45,,0.20 ,Large Growth,,,,,,,1.68,0.86,89.79,12.23,0.43
AIA SAP - CFS Indexed Australian Share Fund,8364,PRU0513AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.44,−3.40,0.86,−0.29,10.84,9.15,14.45,9.14,1.10,2.45,11.92,0.16 ,,,,,,,,2.30,0.83,91.70,11.76,0.49
AIA SAP - CFS Indexed Global Share Fund,8365,PRU0515AU,,,,,2,Equity World Large Blend,No,No,,,,7.44,9.10,0.75,16.65,1.35,0.05,0.26,0.85,0.66,−0.89,−7.20,2.02,−4.08,12.85,13.51,13.74,11.56,1.10,2.45,1.42,6.98 ,Large Blend,,,,,,,0.04,0.86,82.32,11.09,0.87
AIA SAP - CFS Wholesale Australian Share Fund,7312,PRU0411AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.42,−3.39,0.83,−0.31,9.88,9.73,13.39,9.65,1.80,1.80,10.83,71.01 ,Large Growth,,,,,,,2.62,0.95,84.38,14.03,0.47
AIA SAP - CFS Wholesale Global Share Fund,8350,PRU0485AU,,,,,3,Equity World Large Growth,Yes,No,,,,8.91,0.00,0,17.15,0,0,0,0.00,0.00,−0.91,−7.10,2.09,−3.99,13.74,13.34,12.56,10.73,1.15,1.15,15.00,13.02 ,Large Growth,,,,,,,−0.13,0.86,79.66,11.29,0.85
AIA SAP - CFS Wholesale Imputation Fund,6233,PRU0184AU,,,,,3,Equity Australia Large Blend,No,No,,,,9.30,24.34,0.65,9.83,0,0,0,0.00,11.07,1.41,−3.42,0.80,−0.34,9.96,9.77,12.14,8.30,1.80,1.80,10.75,18.66 ,Large Blend,,,,,,,2.67,0.95,84.35,14.02,0.47
AIA SAP - International Equities Fund,4472,PRU0090AU,,,,,,Equity World Large Growth,,No,,,,,,,,,,,,,−0.90,−7.26,1.99,−4.15,11.92,13.19,13.34,11.14,1.29,2.64,,2.53 ,,,,,,,,0.24,0.81,82.77,10.42,0.90
AIA SAP - Multi-Manager Australian Share Fund,8354,PRU0493AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.44,−3.35,0.92,−0.24,10.04,8.29,13.47,8.11,0.70,0.70,,1.28 ,,,,,,,,1.49,0.84,92.43,11.75,0.42
AIA SAP - Multi-Manager Fixed Interest Fund,8358,PRU0497AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.44,2.04,3.64,2.57,6.75,2.05,0.54,2.17,1.10,2.45,,2.67 ,,,,,,,,−0.87,0.82,85.83,5.05,−0.31
AIA SAP - Multi-Manager Global Share Fund,8359,PRU0498AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−0.90,−7.23,1.97,−4.12,11.87,13.14,13.79,10.41,1.10,2.45,,11.42 ,,,,,,,,0.27,0.80,82.98,10.30,0.90
AIA SAP - Multi-Manager Property Securities Fund,8357,PRU0496AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,−1.02,−2.59,−6.70,−0.49,7.21,−3.93,6.61,4.59,0.46,0.46,,1.83 ,,,,,,,,−8.84,0.67,78.62,17.68,−0.35
AIA SPS - Alphinity Conc AU Shares,8226,PRU0464AU,,,,,3,Equity Australia Large Blend,No,No,,,,9.31,15.04,0,12.06,0,0,5.58,0.00,9.19,1.08,−3.05,0.49,−0.41,9.88,7.37,14.20,8.79,1.10,2.45,14.83,0.14 ,Large Blend,,,,,,,1.03,0.69,89.95,9.90,0.40
AIA SPS - Aust Fixed Interest,6444,PRU0111AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.18,1.79,3.26,2.53,5.86,1.77,0.01,1.49,1.10,2.45,,4.13 ,,,,,,,,−1.29,0.68,83.58,4.25,−0.44
AIA SPS - Australian Equities,6443,PRU0110AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.15,−3.01,0.65,−0.33,8.71,7.08,11.71,7.53,1.10,2.45,,2.57 ,Large Growth,,,,,,,0.62,0.74,92.50,10.37,0.36
AIA SPS - AXA Alliance Australian Fixed Interest Option,8218,PRU0415AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.57,2.08,3.99,3.07,6.44,2.50,0.15,1.68,1.80,1.80,,6.98 ,,,,,,,,−0.46,0.81,92.29,4.79,−0.24
AIA SPS - BT Core Australian Share Option,6450,PRU0119AU,,,,,3,Equity Australia Large Blend,No,No,,,,10.11,17.47,3.49,9.01,0,0,3.82,0.00,9.64,1.13,−2.97,0.61,−0.35,8.82,7.53,13.29,8.41,1.80,1.80,22.42,7.88 ,Large Blend,,,,,,,1.08,0.73,88.86,10.54,0.39
AIA SPS - BT Property Investment Option,6454,PRU0192AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,−0.90,−2.31,−5.94,−0.66,8.90,−2.27,7.17,4.97,1.80,1.80,28.33,12.17 ,,,,,,,,−7.14,0.57,77.50,15.28,−0.32
AIA SPS - Cash Fund,6447,PRU0115AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.26,0.90,1.91,1.20,3.89,3.21,2.03,1.98,1.10,2.45,,6.89 ,,,,,,,,−0.40,0.65,20.50,0.32,−4.32
AIA SPS - CFS Australian Share Fund - Core,8389,PRU0582AU,,,,,4,Equity Australia Large Blend,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.13,−3.00,0.59,−0.37,8.39,7.45,12.44,7.60,1.10,2.45,,0.20 ,Large Growth,,,,,,,0.97,0.75,89.15,10.69,0.38
AIA SPS - CFS Wholesale Australian Share Fund,6236,PRU0191AU,,,,,4,Equity Australia Large Growth,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,1.16,−2.97,0.66,−0.32,8.85,8.50,11.99,8.61,1.80,1.80,10.83,71.01 ,Large Growth,,,,,,,1.77,0.83,84.33,12.21,0.43
AIA SPS - CFS Wholesale Global Share Fund,8221,PRU0418AU,,,,,3,Equity World Large Growth,Yes,No,,,,8.91,0.00,0,17.15,0,0,0,0.00,0.00,−0.76,−6.27,1.67,−3.53,12.68,12.32,12.08,10.36,1.80,1.80,15.00,13.02 ,Large Growth,,,,,,,−0.08,0.76,81.05,9.92,0.86
AIA SPS - CFS Wholesale Indexed Australian Share Fund,8400,PRU0459AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.15,−2.99,0.65,−0.33,9.79,8.07,12.95,8.10,1.10,2.45,11.92,0.16 ,,,,,,,,1.57,0.73,91.05,10.38,0.44
AIA SPS - CFS Wholesale Indexed Global Share Fund,8401,PRU0461AU,,,,,2,Equity World Large Blend,No,No,,,,7.44,9.10,0.75,16.65,1.35,0.05,0.26,0.85,0.66,−0.75,−6.25,1.65,−3.59,12.10,12.24,12.69,11.12,1.10,2.45,1.42,6.98 ,Large Blend,,,,,,,−0.15,0.76,83.48,9.77,0.86
AIA SPS - International Equities,6449,PRU0117AU,,,,,,Equity World Large Growth,,No,,,,,,,,,,,,,−0.75,−6.26,1.75,−3.48,11.13,11.88,12.23,10.35,1.10,2.45,,2.53 ,,,,,,,,0.06,0.71,84.54,9.03,0.89
AIA SPS - Multi-Manager Australian Share Fund,8391,PRU0426AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.14,−3.01,0.61,−0.36,8.47,7.03,11.78,7.07,1.10,2.45,,1.28 ,,,,,,,,0.59,0.73,92.52,10.32,0.35
AIA SPS - Multi-Manager Fixed Interest Fund,8395,PRU0453AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.23,1.84,3.36,2.58,5.96,1.81,0.36,1.80,1.10,2.45,,2.67 ,,,,,,,,−1.25,0.69,83.74,4.31,−0.43
AIA SPS - Multi-Manager Global Share Fund,8396,PRU0454AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−0.72,−6.33,1.67,−3.57,11.10,11.86,12.61,9.69,1.10,2.45,,11.42 ,,,,,,,,0.06,0.71,84.37,9.02,0.89
AIA SPS - Multi-Manager Property Securities Fund,8394,PRU0429AU,,,,,,Equity Australia Real Estate,,No,,,,,,,,,,,,,−0.90,−2.32,−6.23,−0.65,6.29,−3.22,6.91,4.54,1.10,2.45,,1.83 ,,,,,,,,−8.14,0.58,78.69,15.45,−0.38
AIA Super Investment Growth Bond - Australian Equities,1777,LGL0507AU,,,,,,Equity Australia Large Growth,,,,,,,,,,,,,,,6.03,9.51,9.99,6.03,10.63,5.37,7.32,7.35,,2.03,,,,,,,,,,0.30,0.80,87.98,16.62,
AIA Super Investment Growth Bond - Guaranteed Cash,543,LGL0501AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.13,0.40,0.61,0.13,0.61,0.21,0.30,0.53,,0.00,,,,,,,,,,−0.11,1.81,56.33,0.14,−2.40
AIA Super Investment Growth Bond - International Equities,544,LGL0508AU,,,,,,Equity World Large Blend,,,,,,,,,,,,,,,1.91,0.35,2.09,1.91,−7.57,3.89,6.72,9.62,,2.04,,,,,,,,,,−0.56,0.73,84.12,10.33,0.59
AIA SuperBond - Guaranteed Cash,14960,SCO0505AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.20,1.05,2.12,3.43,4.81,4.36,4.48,8.32,,1.50,,,,,,,,,,,,,5.78,
AIA SuperBridge - Guaranteed Cash,1989,CML0712AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.16,0.61,1.32,0.81,2.69,2.01,1.20,0.93,,1.51,,0.83 ,,,,,,,,−1.64,0.36,5.18,0.30,−12.37
AIA SuperBridge Series III - Australian Fixed Interest,3630,CML0052AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.11,1.54,2.74,2.19,4.78,0.84,−0.94,0.42,,0.66,,0.45 ,,,,,,,,−2.22,0.68,83.71,4.25,−0.67
AIA SuperBridge Series III - Australian Shares,3629,CML0048AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.06,−3.24,0.11,−0.68,7.61,6.14,10.69,6.44,,0.58,,2.54 ,,,,,,,,−0.26,0.74,92.50,10.38,0.27
AIA SuperBridge Series III - Guaranteed Cash,3627,CML0054AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.16,0.61,1.31,0.80,2.67,1.95,1.17,0.82,,0.34,,0.83 ,,,,,,,,−1.70,0.35,4.42,0.31,−11.99
AIA SuperBridge Series IV - Australian Fixed Interest,14962,CML0207AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,1.13,1.58,2.83,2.25,4.93,0.97,−0.81,0.50,,1.69,,,,,,,,,,−2.08,0.68,83.72,4.25,−0.63
AIA SuperBridge Series IV - Australian Shares,14963,CML0206AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,1.08,−3.20,0.20,−0.61,7.82,6.34,10.89,6.57,,1.67,,,,,,,,,,−0.08,0.74,92.57,10.39,0.29
AIA SuperBridge Series IV - Capital Secure,14966,CML0198AU,,,,,,Bonds - Australia,,No,,,,,,,,,,,,,0.76,−0.19,2.18,1.19,6.47,4.57,3.61,2.99,,1.69,,,,,,,,,,1.26,0.50,61.86,3.68,0.23
AIA SuperBridge Series IV - Guaranteed Cash,14967,CML0196AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.17,0.65,1.40,0.85,2.85,2.22,1.33,0.90,,1.70,,,,,,,,,,−1.47,0.19,2.30,0.28,−13.51
AIA SuperSelect - Australian Shares Fund,5971,COM0102AU,,,,,4,Equity Australia Large Blend,No,No,,,,6.58,14.33,0,9.86,0,0,0,0.00,8.92,3.25,−2.49,1.29,0.95,8.66,6.32,10.41,6.48,,1.91,,21.23 ,Large Growth,,,,,,,−0.47,0.87,99.28,11.76,0.27
AIA SuperSelect - Savings Account,5984,COM0116AU,,,,,,Australian Cash,,No,,,,,,,,,,,,,0.22,0.86,1.82,1.15,3.69,3.04,1.72,1.43,,1.20,,188.14 ,,,,,,,,−0.60,0.52,16.20,0.31,−6.30
Aikya Emerging Markets Opportunities Fund,44906,WHT2409AU,,,,,2,Equity Emerging Markets,Yes,Yes,,,,8.44,0.00,0,11.34,0,0,0,0.00,0.00,0.31,0.87,−1.06,−1.06,7.47,3.75,,,1.10,1.10,3.33,131.96 ,Large Blend,,,,,2,1,−2.16,0.62,51.30,9.51,0.04
Aikya Emerging Markets Opportunities Fund Class I,46023,WHT3219AU,,,,,2,Equity Emerging Markets,Yes,Yes,,,,8.44,0.00,0,11.34,0,0,0,0.00,0.00,0.34,0.93,−0.93,−0.98,7.53,3.90,,,0.84,0.84,3.33,131.96 ,Large Blend,,,,,2,2,−2.01,0.62,51.01,9.54,0.06
Aikya Emerging Markets Opportunities Fund Class M,45779,WHT6938AU,,,,,2,Equity Emerging Markets,Yes,Yes,,,,8.44,0.00,0,11.34,0,0,0,0.00,0.00,0.32,0.89,−1.00,−1.03,8.88,,,,0.95,0.95,3.33,131.96 ,Large Blend,,,,,,,,,,,
Aim Global High Conviction Fund,42339,AIT3081AU,Negative,0.00,86.00,2025-03-31,2,Equity World Large Blend,No,No,,,,9.77,11.14,4.32,10.1,5.23,0,0,5.23,0.00,0.97,−1.18,10.04,3.97,17.64,15.75,14.14,,1.40,2.31,5.75,93.00 ,Large Growth,,,,,3,4,1.65,0.90,75.44,12.11,0.97
AIM Global High Conviction Fund - Advised Class,44249,PIM6481AU,Negative,0.00,86.00,2025-03-31,2,Equity World Large Blend,No,No,,,,9.77,11.14,4.32,10.1,5.23,0,0,5.23,0.00,0.98,−1.14,10.22,4.09,17.96,16.11,,,1.90,2.31,5.75,93.00 ,Large Growth,,,,,4,3,1.95,0.90,75.45,12.13,0.99
Airlie Australian Share Fund (Managed Fund),24681,MGE9705AU,Neutral,100.00,100.00,2024-10-23,3,Equity Australia Large Blend,No,No,,,,11.42,26.46,0,13.82,0,0,7.91,0.00,10.87,3.58,−4.59,0.52,−0.13,4.48,6.43,13.62,,0.78,0.78,7.00,895.97 ,Large Blend,,,,,4,4,−0.83,1.08,94.74,14.98,0.24
Akambo International Equities Fund,44274,ETL6769AU,,,,,,Equity World Large Blend,,No,,,,,,,,,,,,,−1.46,−4.61,3.31,−1.54,4.67,6.28,,,0.40,0.55,,,,,,,,1,1,−4.74,0.67,84.81,8.56,0.32
ALC Active Australian Equities Fund,46342,ETL2310AU,,,,,,Equity Australia Large Blend,,No,,,,,,,,,,,,,−1.56,−3.10,−1.82,−1.62,−8.99,,,,2.21,4.00,,,,,,,,,,,,,,
